Order Date,Country,City,Region,Customer,Industry,Product,Sales,Quantity,Discount,Profit,Selling Price,Cost Price,Year,Month
2022-11-09,Ireland,Dublin,EMEA,Chevron,Energy,Marketing Suite,261.96,2,0.0,41.9136,130.98,110.02319999999999,2022,11
2022-11-09,Ireland,Dublin,EMEA,Chevron,Energy,FinanceHub,731.94,3,0.0,219.582,243.98000000000002,170.78600000000003,2022,11
2022-06-13,United States,New York City,AMER,Phillips 66,Energy,FinanceHub,14.62,2,0.0,6.8714,7.31,3.8742999999999994,2022,6
2021-10-11,Germany,Stuttgart,EMEA,Royal Dutch Shell,Energy,ContactMatcher,957.5775,5,0.45,-383.031,348.2099999999999,487.49399999999997,2021,10
2021-10-11,Germany,Stuttgart,EMEA,Royal Dutch Shell,Energy,Marketing Suite - Gold,22.368,2,0.2,2.5164,13.979999999999999,12.407249999999998,2021,10
2020-06-09,United States,New York City,AMER,BNP Paribas,Finance,SaaS Connector Pack,48.86,7,0.0,14.1694,6.9799999999999995,4.955800000000001,2020,6
2020-06-09,United States,New York City,AMER,BNP Paribas,Finance,ChatBot Plugin,7.28,4,0.0,1.9656,1.82,1.3286,2020,6
2020-06-09,United States,New York City,AMER,BNP Paribas,Finance,Site Analytics,907.152,6,0.2,90.7152,188.99,170.091,2020,6
2020-06-09,United States,New York City,AMER,BNP Paribas,Finance,ContactMatcher,18.504,3,0.2,5.7825,7.71,5.300625000000001,2020,6
2020-06-09,United States,New York City,AMER,BNP Paribas,Finance,OneView,114.9,5,0.0,34.47,22.98,16.086000000000002,2020,6
2020-06-09,United States,New York City,AMER,BNP Paribas,Finance,ContactMatcher,1706.184,9,0.2,85.3092,236.97,225.1215,2020,6
2020-06-09,United States,New York City,AMER,BNP Paribas,Finance,Site Analytics,911.424,4,0.2,68.3568,284.82,263.45849999999996,2020,6
2023-04-16,Sweden,Stockholm,EMEA,Engie,Energy,Support,15.552,3,0.2,5.4432,6.4799999999999995,4.211999999999999,2023,4
2022-12-06,Canada,Toronto,AMER,Microsoft,Tech,ContactMatcher,407.976,3,0.2,132.5922,169.98999999999998,114.74324999999999,2022,12
2021-11-22,Japan,Saitama,APJ,Pfizer,Healthcare,OneView,68.81,5,0.8,-123.858,68.81000000000002,192.66800000000006,2021,11
2021-11-22,Japan,Saitama,APJ,Pfizer,Healthcare,ContactMatcher,2.544,3,0.8,-3.816,4.240000000000001,10.600000000000001,2021,11
2020-11-11,Italy,Naples,EMEA,Toyota Motor,Manufacturing,Marketing Suite - Gold,665.88,6,0.0,13.3176,110.98,108.7604,2020,11
2020-05-13,Turkey,Ankara,EMEA,Home Depot,Retail,Marketing Suite - Gold,55.5,2,0.0,9.99,27.75,22.755,2020,5
2020-08-27,United States,Los Angeles,AMER,Wells Fargo,Finance,ChatBot Plugin,8.56,2,0.0,2.4824,4.28,3.0388,2020,8
2020-08-27,United States,Los Angeles,AMER,Wells Fargo,Finance,Site Analytics,213.48,3,0.2,16.011,88.94999999999999,82.27874999999999,2020,8
2020-08-27,United States,Los Angeles,AMER,Wells Fargo,Finance,ContactMatcher,22.72,4,0.2,7.384,7.1,4.7924999999999995,2020,8
2022-12-10,Costa Rica,San José,AMER,Carrefour,Retail,ChatBot Plugin,19.46,7,0.0,5.0596,2.7800000000000002,2.0572000000000004,2022,12
2022-12-10,Costa Rica,San José,AMER,Carrefour,Retail,OneView,60.34,7,0.0,15.6884,8.620000000000001,6.3788,2022,12
2023-07-17,France,Paris,EMEA,Costco Wholesale,Retail,FinanceHub,71.372,2,0.3,-1.0196,50.980000000000004,51.708285714285715,2023,7
2021-09-25,Turkey,Istanbul,EMEA,McKesson,Consumer Products,ContactMatcher,1044.63,3,0.0,240.2649,348.21000000000004,268.12170000000003,2021,9
2022-01-16,United States,New York City,AMER,Siemens,Manufacturing,ContactMatcher,11.648,2,0.2,4.2224,7.279999999999999,4.640999999999999,2022,1
2022-01-16,United States,New York City,AMER,Siemens,Manufacturing,Data Smasher,90.57,3,0.0,11.7741,30.189999999999998,26.265299999999996,2022,1
2021-09-17,France,Paris,EMEA,Intel,Tech,Marketing Suite,3083.43,7,0.5,-1665.0522,880.9799999999999,1356.7092,2021,9
2021-09-17,France,Paris,EMEA,Intel,Tech,ContactMatcher,9.618,2,0.7,-7.0532,16.029999999999998,27.785333333333327,2021,9
2021-09-17,France,Paris,EMEA,Intel,Tech,SaaS Connector Pack,124.2,3,0.2,15.525,51.75,45.28125,2021,9
